carparkID,processing-time,slotOccupancy
1,1583492400,110
1,1583492400,108
1,1583492400,103
1,1583492400,108
1,1583492400,113
1,1583492400,105
1,1583492400,107
1,1583492400,105
1,1583492400,113
1,1585047600,103
1,1585047600,106
1,1585047600,115
1,1585047600,101
1,1585047600,111
1,1585047600,109
1,1585047600,103
1,1585047600,103
1,1585047600,106
1,1585047600,106
1,1585047600,107
1,1585220400,104
1,1585220400,111
1,1585220400,115
1,1585220400,107
1,1585220400,108
1,1585220400,105
1,1585220400,103
1,1585220400,103
1,1585220400,111
1,1585220400,114
1,1585220400,106
1,1583146800,112
1,1583146800,102
1,1583146800,105
1,1583146800,112
1,1583146800,103
1,1583146800,103
1,1583146800,104
1,1583146800,113
1,1583146800,112
1,1583146800,105
1,1583146800,103
1,1587902400,114
1,1587902400,105
1,1587902400,105
1,1587902400,106
1,1587902400,107
1,1587902400,104
1,1587902400,130
1,1587902400,105
1,1587902400,106
1,1587902400,114
